TSR, THRUST (N), TORQUE (NM), PRODUCED POWER (W), C_P
0.1,1.31395,0.0270971,0.11937,0.0012039
0.372414,1.33214,0.028515,0.467814,0.00471808
0.644828,1.386,0.0318368,0.904372,0.00912094
0.917241,1.47505,0.0373792,1.51039,0.0152328
1.18966,1.60547,0.0468936,2.45759,0.0247857
1.46207,1.79688,0.0631962,4.07036,0.0410511
1.73448,2.06989,0.0842215,6.43528,0.0649022
2.0069,2.43238,0.107095,9.46821,0.0954905
2.27931,3.01041,0.134352,13.4903,0.136055
2.55172,3.49673,0.155759,17.509,0.176585
2.82414,3.81721,0.164749,20.4966,0.206716
3.09655,5.36023,0.208583,28.4532,0.286961
3.36897,5.99779,0.205904,30.5587,0.308196
3.64138,6.31931,0.18581,29.8064,0.300609
3.91379,5.42028,0.151064,26.0455,0.262678
4.18621,4.81106,0.113063,20.8504,0.210284
4.45862,5.21245,0.109637,21.5343,0.217182
4.73103,4.58235,0.0915882,19.0884,0.192514
5.00345,4.16726,0.0659957,14.5465,0.146707
5.27586,4.08454,0.0584534,13.5856,0.137016
5.54828,4.23179,0.0529463,12.941,0.130515
5.82069,2.2741,0.0282902,7.25411,0.0731605
6.0931,2.2294,0.0343322,9.21539,0.0929407
6.36552,3.06143,-0.18421,-51.6559,-0.520969
6.63793,2.64486,0.0275616,8.05956,0.0812837
6.91034,3.53139,-0.00555693,-1.69164,-0.0170609
7.18276,3.02935,0.0206762,6.54237,0.0659823
7.45517,4.92065,-0.502852,-165.147,-1.66558
7.72759,3.26069,-0.00278133,-0.946828,-0.00954912
8,3.88432,-0.0244619,-8.62095,-0.0869455
